"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 29, 2020","37,134.92","37,268.02","37,268.02","36,973.20","134.15M","-0.26%"
"Sep 28, 2020","37,231.50","36,904.89","37,329.58","36,825.35","204.80M","1.77%"
"Sep 25, 2020","36,583.71","36,280.01","36,626.64","35,910.97","184.84M","1.01%"
"Sep 24, 2020","36,217.49","35,780.33","36,425.74","35,772.02","190.70M","1.08%"
"Sep 23, 2020","35,829.58","35,981.99","36,119.32","35,669.50","135.75M","-0.07%"
"Sep 22, 2020","35,853.58","35,537.43","35,918.02","35,428.86","126.61M","0.95%"
"Sep 21, 2020","35,517.77","35,978.36","35,978.36","35,354.03","110.14M","-1.39%"
"Sep 18, 2020","36,017.35","36,255.88","36,275.15","35,972.03","486.91M","-0.31%"
"Sep 17, 2020","36,130.92","36,628.18","36,628.18","36,052.39","232.99M","-1.63%"
"Sep 15, 2020","36,729.15","36,983.20","37,032.33","36,691.87","184.60M","-0.41%"
"Sep 14, 2020","36,881.99","36,780.44","37,030.82","36,595.12","150.02M","1.51%"
"Sep 11, 2020","36,334.89","36,258.07","36,390.02","36,110.65","280.23M","0.43%"
"Sep 10, 2020","36,180.74","36,173.24","36,372.97","35,908.99","174.19M","0.06%"
"Sep 09, 2020","36,157.96","36,115.24","36,405.38","35,915.42","138.26M","0.24%"
"Sep 08, 2020","36,071.43","36,597.53","36,597.55","35,748.04","124.20M","-1.54%"
"Sep 07, 2020","36,637.45","36,492.20","36,725.31","36,466.45","14.43M","0.52%"
"Sep 04, 2020","36,448.50","36,366.55","36,576.82","35,853.58","136.69M","0.05%"
"Sep 03, 2020","36,429.66","36,984.44","37,007.75","36,384.69","157.14M","-1.68%"
"Sep 02, 2020","37,053.77","37,656.04","37,656.04","36,973.76","147.05M","-1.16%"
"Sep 01, 2020","37,487.99","36,893.82","37,532.96","36,745.99","187.15M","1.76%"
"Aug 31, 2020","36,840.73","37,773.28","37,805.24","36,788.67","399.82M","-2.52%"
"Aug 28, 2020","37,794.25","37,590.68","37,905.43","37,555.98","95.35M","0.39%"
"Aug 27, 2020","37,647.19","37,844.04","37,917.14","37,453.60","122.96M","-0.28%"
"Aug 26, 2020","37,753.04","38,229.45","38,231.07","37,706.19","152.14M","-1.30%"
"Aug 25, 2020","38,249.90","37,883.31","38,321.32","37,803.46","153.50M","0.58%"
"Aug 24, 2020","38,029.62","38,189.67","38,344.09","37,971.66","111.11M","-0.17%"
"Aug 21, 2020","38,095.88","38,692.80","38,692.80","38,053.63","95.39M","-1.58%"
"Aug 20, 2020","38,707.24","39,019.21","39,019.21","38,534.83","113.79M","-0.81%"
"Aug 19, 2020","39,021.92","39,078.23","39,212.40","38,945.86","123.91M","-0.17%"
"Aug 18, 2020","39,087.35","39,337.65","39,349.38","38,875.96","179.12M","-0.51%"
"Aug 17, 2020","39,285.85","38,955.68","39,317.24","38,848.38","128.68M","0.86%"
