"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 21, 2021","118,328.99","119,628.41","120,242.86","117,785.13","8.57M","-1.10%"
"Jan 20, 2021","119,646.40","120,644.50","121,449.10","118,739.87","7.95M","-0.82%"
"Jan 19, 2021","120,636.39","121,249.84","122,120.24","119,257.03","7.89M","-0.50%"
"Jan 18, 2021","121,241.63","120,351.43","122,585.82","120,351.43","7.22M","0.74%"
"Jan 15, 2021","120,348.80","123,471.59","123,471.59","120,185.13","9.39M","-2.54%"
"Jan 14, 2021","123,480.52","121,946.67","123,896.35","121,946.67","8.97M","1.27%"
"Jan 13, 2021","121,933.08","123,996.20","124,031.68","121,015.60","10.29M","-1.67%"
"Jan 12, 2021","123,998.00","123,255.13","124,584.33","123,227.47","8.95M","0.60%"
"Jan 11, 2021","123,255.13","125,075.18","125,075.18","122,505.58","9.54M","-1.46%"
"Jan 08, 2021","125,076.63","122,387.43","125,323.53","122,385.76","11.09M","2.20%"
"Jan 07, 2021","122,385.92","119,103.07","122,696.64","119,100.76","11.77M","2.76%"
"Jan 06, 2021","119,100.08","119,376.91","120,924.32","118,916.94","11.64M","-0.23%"
"Jan 05, 2021","119,376.21","118,834.88","119,790.06","116,756.08","9.26M","0.44%"
"Jan 04, 2021","118,854.71","119,024.29","120,353.81","118,061.77","8.74M","-0.14%"
"Dec 30, 2020","119,017.24","119,409.85","120,149.85","118,919.43","8.24M","-0.33%"
"Dec 29, 2020","119,409.15","119,130.06","119,860.91","118,750.10","6.77M","0.24%"
"Dec 28, 2020","119,123.70","117,805.56","119,212.79","117,804.95","7.17M","1.12%"
"Dec 23, 2020","117,806.85","116,636.18","118,311.44","116,636.18","6.48M","1.00%"
"Dec 22, 2020","116,636.18","115,824.66","116,902.54","115,648.34","6.95M","0.70%"
"Dec 21, 2020","115,822.57","118,020.94","118,020.94","114,730.05","10.35M","-1.86%"
"Dec 18, 2020","118,023.67","118,395.23","119,370.48","117,638.24","8.64M","-0.32%"
"Dec 17, 2020","118,400.57","117,863.58","119,027.05","117,856.26","7.70M","0.46%"
"Dec 16, 2020","117,857.35","116,148.97","118,178.44","115,495.75","9.81M","1.47%"
"Dec 15, 2020","116,148.63","114,613.42","116,389.82","114,613.42","8.20M","1.34%"
"Dec 14, 2020","114,611.12","115,136.91","115,740.10","114,431.00","8.19M","-0.45%"
"Dec 11, 2020","115,128.00","115,127.74","115,526.57","113,949.39","8.37M","-0.00%"
"Dec 10, 2020","115,128.63","113,002.26","115,261.71","112,731.76","11.80M","1.88%"
"Dec 09, 2020","113,001.16","113,798.53","114,020.40","112,566.73","8.43M","-0.70%"
"Dec 08, 2020","113,793.06","113,589.77","114,381.14","112,820.31","8.81M","0.18%"
"Dec 07, 2020","113,589.77","113,750.50","114,531.04","112,629.18","9.63M","-0.14%"
"Dec 04, 2020","113,750.22","112,293.77","113,863.73","112,293.76","8.89M","1.30%"
"Dec 03, 2020","112,291.59","111,873.88","113,377.33","111,873.88","11.47M","0.37%"
