"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 16","43,630.77","42,963.90","43,631.18","39,924.09","4.65B","1.52%"
"Dec 15","42,977.50","43,418.55","44,024.95","41,514.77","4.51B","-1.02%"
"Nov 15","43,418.55","44,543.84","45,680.11","43,382.13","4.29B","-2.52%"
"Oct 15","44,542.76","42,627.42","45,102.58","42,203.82","4.34B","4.48%"
"Sep 15","42,632.54","43,707.02","44,075.52","41,791.60","4.00B","-2.49%"
"Aug 15","43,721.96","44,737.51","45,388.64","39,256.58","4.42B","-2.30%"
"Jul 15","44,752.93","45,052.89","45,664.77","43,713.72","4.37B","-0.67%"
"Jun 15","45,053.70","44,699.56","45,630.19","44,139.72","4.19B","0.78%"
"May 15","44,703.62","44,589.10","45,540.68","44,124.59","3.84B","0.27%"
"Apr 15","44,582.39","43,709.49","46,078.07","43,697.45","4.02B","1.96%"
"Mar 15","43,724.78","44,179.93","44,441.15","42,674.25","4.37B","-1.05%"
"Feb 15","44,190.17","40,954.62","44,439.99","40,944.81","4.03B","7.91%"
"Jan 15","40,950.58","43,146.52","43,325.43","40,723.66","4.06B","-5.09%"
"Dec 14","43,145.66","44,179.21","44,248.11","39,580.78","4.16B","-2.36%"
"Nov 14","44,190.47","45,029.46","45,211.74","43,296.64","3.56B","-1.86%"
"Oct 14","45,027.52","44,985.39","45,223.00","42,431.14","4.57B","0.09%"
"Sep 14","44,985.66","45,630.72","46,554.28","44,426.60","3.53B","-1.41%"
"Aug 14","45,628.09","43,819.43","45,762.37","43,706.82","3.65B","4.13%"
"Jul 14","43,817.69","42,744.95","44,714.41","42,602.18","3.86B","2.53%"
"Jun 14","42,737.17","41,375.41","43,175.77","41,375.41","3.76B","3.32%"
"May 14","41,362.51","40,729.04","42,492.61","40,729.04","4.15B","1.60%"
"Apr 14","40,711.56","40,465.98","41,167.30","39,979.53","4.01B","0.62%"
"Mar 14","40,461.60","38,780.43","40,461.60","37,751.64","4.80B","4.33%"
"Feb 14","38,782.89","40,881.12","40,958.65","38,469.60","3.83B","-5.13%"
"Jan 14","40,879.75","42,725.53","42,841.96","40,228.29","4.24B","-4.32%"
"Dec 13","42,727.09","42,493.56","43,086.74","41,409.25","4.60B","0.54%"
"Nov 13","42,499.13","41,028.84","42,575.62","39,136.15","4.54B","3.56%"
"Oct 13","41,038.65","40,185.51","41,458.90","39,648.11","4.43B","2.12%"
"Sep 13","40,185.23","39,491.13","42,195.12","39,352.72","4.43B","1.77%"
"Aug 13","39,484.46","40,838.74","42,781.84","38,953.09","6.49B","-3.31%"
"Jul 13","40,837.88","40,624.34","41,285.20","39,290.25","5.16B","0.53%"
"Jun 13","40,623.30","41,587.63","41,590.17","37,034.30","6.30B","-2.32%"
"May 13","41,588.32","42,266.94","42,851.68","39,468.13","5.77B","-1.60%"
"Apr 13","42,263.48","44,052.26","44,466.74","41,624.49","5.65B","-4.11%"
"Mar 13","44,077.09","44,100.92","44,323.62","41,881.31","6.59B","-0.10%"
"Feb 13","44,120.99","45,278.72","45,785.96","43,294.72","5.01B","-2.56%"
"Jan 13","45,278.06","43,703.98","46,075.04","43,703.98","4.40B","3.60%"
"Dec 12","43,705.83","41,822.54","44,000.18","41,820.32","3.80B","4.48%"
"Nov 12","41,833.52","41,618.54","42,206.14","40,247.62","4.66B","0.51%"
"Oct 12","41,619.96","40,876.97","42,750.99","40,876.97","4.52B","1.84%"
"Sep 12","40,866.96","39,409.43","41,155.36","39,409.43","3.95B","3.67%"
"Aug 12","39,421.65","40,698.56","41,383.79","39,390.58","4.40B","-3.15%"
"Jul 12","40,704.28","40,203.68","41,600.59","39,692.43","3.67B","1.26%"
"Jun 12","40,199.55","37,870.26","40,248.42","36,898.52","4.70B","6.14%"
"May 12","37,872.95","39,459.40","40,050.21","36,756.08","5.36B","-4.02%"
"Apr 12","39,461.00","39,523.32","39,963.64","38,062.14","3.44B","-0.15%"
"Mar 12","39,521.24","37,816.24","39,567.99","37,380.63","4.19B","4.51%"
"Feb 12","37,816.69","37,425.19","38,413.19","37,425.19","5.34B","1.05%"
"Jan 12","37,422.68","37,077.52","38,128.40","36,428.42","3.98B","0.93%"
"Dec 11","37,077.52","36,828.95","37,510.78","35,567.34","3.47B","0.67%"
"Nov 11","36,829.15","36,162.21","37,560.80","34,573.04","5.06B","1.85%"
"Oct 11","36,159.99","33,504.60","37,334.15","32,258.39","5.73B","7.93%"
"Sep 11","33,503.28","35,727.21","36,143.53","32,077.90","4.89B","-6.21%"
"Aug 11","35,721.10","35,993.62","36,299.43","31,561.51","6.50B","-0.77%"
"Jul 11","35,999.34","36,556.40","36,917.52","34,923.47","4.62B","-1.53%"
"Jun 11","36,558.07","35,838.61","36,823.06","34,573.39","4.30B","2.02%"
"May 11","35,832.79","36,970.46","37,056.85","34,811.68","3.92B","-3.06%"
"Apr 11","36,962.62","37,440.10","38,091.18","36,090.65","2.89B","-1.28%"
"Mar 11","37,440.51","37,019.70","37,563.99","35,358.87","3.47B","1.14%"
"Feb 11","37,019.70","36,983.57","38,014.88","36,318.55","3.34B","0.10%"
"Jan 11","36,982.24","38,552.87","38,876.76","36,622.57","3.30B","-4.07%"
"Dec 10","38,550.79","36,817.32","38,550.79","36,817.32","3.05B","4.71%"
"Nov 10","36,817.32","35,573.72","37,153.94","35,551.28","3.37B","3.51%"
"Oct 10","35,568.22","33,332.21","35,630.10","33,332.05","3.85B","6.71%"
"Sep 10","33,330.34","31,680.59","33,530.83","31,680.59","3.05B","5.21%"
"Aug 10","31,679.85","32,308.88","33,022.09","30,916.05","3.46B","-1.95%"
"Jul 10","32,308.74","31,153.52","33,043.57","30,542.53","3.25B","3.70%"
"Jun 10","31,156.97","31,988.63","33,290.91","30,690.54","3.62B","-2.75%"
"May 10","32,038.53","32,692.67","32,974.68","30,074.06","4.64B","-1.98%"
"Apr 10","32,687.32","33,267.47","34,223.87","32,385.09","3.74B","-1.74%"
"Mar 10","33,266.43","31,637.89","33,589.09","31,637.89","3.68B","5.16%"
"Feb 10","31,634.54","30,416.64","32,283.14","29,926.06","3.10B","4.09%"
"Jan 10","30,391.61","32,120.74","33,080.05","30,082.77","3.91B","-5.38%"
