"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 24, 2021","29,671.70","30,020.11","30,089.59","29,671.70","792.90M","-1.61%"
"Feb 22, 2021","30,156.03","30,281.78","30,458.13","30,089.18","628.04M","0.46%"
"Feb 19, 2021","30,017.92","29,970.59","30,169.59","29,847.33","637.49M","-0.72%"
"Feb 18, 2021","30,236.09","30,311.98","30,560.49","30,140.01","779.35M","-0.19%"
"Feb 17, 2021","30,292.19","30,366.82","30,398.20","30,191.01","747.81M","-0.58%"
"Feb 16, 2021","30,467.75","30,229.46","30,714.52","30,191.65","812.60M","1.28%"
"Feb 15, 2021","30,084.15","29,662.41","30,092.34","29,662.41","703.36M","1.91%"
"Feb 12, 2021","29,520.07","29,635.88","29,650.51","29,417.32","797.95M","-0.14%"
"Feb 10, 2021","29,562.93","29,412.55","29,562.93","29,368.18","811.10M","0.19%"
"Feb 09, 2021","29,505.93","29,435.61","29,585.75","29,350.48","868.79M","0.40%"
"Feb 08, 2021","29,388.50","28,831.58","29,400.56","28,817.60","935.74M","2.12%"
"Feb 05, 2021","28,779.19","28,631.46","28,785.71","28,548.27","931.94M","1.54%"
"Feb 04, 2021","28,341.95","28,557.46","28,600.22","28,325.89","810.88M","-1.06%"
"Feb 03, 2021","28,646.50","28,482.71","28,669.95","28,402.30","839.84M","1.00%"
"Feb 02, 2021","28,362.17","28,207.48","28,379.31","28,089.12","675.37M","0.97%"
"Feb 01, 2021","28,091.05","27,649.07","28,107.10","27,649.07","656.89M","1.55%"
"Jan 29, 2021","27,663.39","28,320.72","28,320.72","27,629.80","917.38M","-1.89%"
"Jan 28, 2021","28,197.42","28,169.27","28,360.48","27,975.85","1.24B","-1.53%"
"Jan 27, 2021","28,635.21","28,665.34","28,754.99","28,542.00","690.16M","0.31%"
"Jan 26, 2021","28,546.18","28,696.30","28,740.71","28,527.81","634.87M","-0.96%"
"Jan 25, 2021","28,822.29","28,698.89","28,822.29","28,566.85","573.49M","0.67%"
"Jan 22, 2021","28,631.45","28,580.20","28,698.18","28,527.16","669.45M","-0.44%"
"Jan 21, 2021","28,756.86","28,710.41","28,846.15","28,677.61","676.62M","0.82%"
"Jan 20, 2021","28,523.26","28,798.74","28,801.19","28,402.11","697.92M","-0.38%"
"Jan 19, 2021","28,633.46","28,405.49","28,720.91","28,373.34","581.76M","1.39%"
"Jan 18, 2021","28,242.21","28,238.68","28,349.97","28,111.54","519.15M","-0.97%"
"Jan 15, 2021","28,519.18","28,777.47","28,820.50","28,477.03","741.16M","-0.62%"
"Jan 14, 2021","28,698.26","28,442.73","28,979.53","28,411.58","819.13M","0.85%"
"Jan 13, 2021","28,456.59","28,140.10","28,503.43","28,133.59","708.57M","1.04%"
"Jan 12, 2021","28,164.34","28,004.37","28,287.37","27,899.45","788.40M","0.09%"
"Jan 08, 2021","28,139.03","27,720.14","28,139.03","27,667.75","848.72M","2.36%"
"Jan 07, 2021","27,490.13","27,340.46","27,624.73","27,340.46","988.56M","1.60%"
"Jan 06, 2021","27,055.94","27,102.85","27,196.40","27,002.18","726.61M","-0.38%"
"Jan 05, 2021","27,158.63","27,151.38","27,279.78","27,073.46","550.01M","-0.37%"
"Jan 04, 2021","27,258.38","27,575.57","27,602.11","27,042.32","515.06M","-0.68%"
"Dec 30, 2020","27,444.17","27,559.10","27,572.57","27,338.56","505.87M","-0.45%"
"Dec 29, 2020","27,568.15","26,936.38","27,602.52","26,921.14","594.33M","2.66%"
"Dec 28, 2020","26,854.03","26,691.29","26,854.03","26,664.60","506.67M","0.74%"
"Dec 25, 2020","26,656.61","26,708.10","26,716.61","26,638.28","333.99M","-0.04%"
"Dec 24, 2020","26,668.35","26,635.11","26,764.53","26,605.26","479.33M","0.54%"
"Dec 23, 2020","26,524.79","26,580.43","26,585.21","26,414.74","560.12M","0.33%"
"Dec 22, 2020","26,436.39","26,559.33","26,639.99","26,361.66","586.45M","-1.04%"
"Dec 21, 2020","26,714.42","26,834.10","26,905.67","26,533.63","607.19M","-0.18%"
"Dec 18, 2020","26,763.39","26,775.53","26,824.29","26,707.30","737.84M","-0.16%"
"Dec 17, 2020","26,806.67","26,744.50","26,843.05","26,676.28","614.94M","0.18%"
"Dec 16, 2020","26,757.40","26,835.59","26,874.98","26,717.03","613.31M","0.26%"
"Dec 15, 2020","26,687.84","26,683.11","26,736.84","26,605.54","593.32M","-0.17%"
"Dec 14, 2020","26,732.44","26,659.53","26,870.47","26,648.69","599.61M","0.30%"
"Dec 11, 2020","26,652.52","26,732.85","26,819.41","26,553.01","748.74M","-0.39%"
"Dec 10, 2020","26,756.24","26,688.50","26,852.77","26,639.98","692.46M","-0.23%"
"Dec 09, 2020","26,817.94","26,526.34","26,826.78","26,520.60","618.49M","1.33%"
"Dec 08, 2020","26,467.08","26,380.32","26,523.30","26,327.08","550.56M","-0.30%"
"Dec 07, 2020","26,547.44","26,894.25","26,894.25","26,500.32","615.83M","-0.76%"
"Dec 04, 2020","26,751.24","26,697.26","26,799.83","26,646.08","616.22M","-0.22%"
"Dec 03, 2020","26,809.37","26,740.30","26,868.09","26,719.23","694.76M","0.03%"
"Dec 02, 2020","26,800.98","26,884.99","26,889.90","26,695.28","801.85M","0.05%"
"Dec 01, 2020","26,787.54","26,624.20","26,852.16","26,618.39","732.39M","1.34%"
"Nov 30, 2020","26,433.62","26,830.10","26,834.20","26,405.83","1.48B","-0.79%"
"Nov 27, 2020","26,644.71","26,530.28","26,672.40","26,419.05","862.27M","0.40%"
