"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 13, 2020","3,320.73","3,328.18","3,338.15","3,309.46","32.43B","0.04%"
"Aug 12, 2020","3,319.27","3,327.49","3,335.73","3,263.27","37.83B","-0.63%"
"Aug 11, 2020","3,340.29","3,379.49","3,409.06","3,336.09","40.05B","-1.15%"
"Aug 10, 2020","3,379.25","3,341.53","3,399.93","3,335.04","38.14B","0.75%"
"Aug 07, 2020","3,354.04","3,370.59","3,374.13","3,307.71","40.39B","-0.96%"
"Aug 06, 2020","3,386.46","3,380.76","3,392.70","3,334.33","41.53B","0.26%"
"Aug 05, 2020","3,377.56","3,363.33","3,383.64","3,333.88","38.58B","0.17%"
"Aug 04, 2020","3,371.69","3,376.44","3,391.07","3,352.50","44.23B","0.11%"
"Aug 03, 2020","3,367.97","3,332.18","3,368.10","3,327.68","40.75B","1.75%"
"Jul 31, 2020","3,310.01","3,280.80","3,333.79","3,261.61","35.38B","0.71%"
"Jul 30, 2020","3,286.82","3,299.57","3,312.45","3,282.16","34.07B","-0.23%"
"Jul 29, 2020","3,294.55","3,221.99","3,294.55","3,209.99","32.49B","2.06%"
"Jul 28, 2020","3,227.96","3,226.13","3,245.30","3,208.49","28.94B","0.71%"
"Jul 27, 2020","3,205.23","3,210.39","3,221.98","3,174.66","29.93B","0.26%"
"Jul 24, 2020","3,196.77","3,310.65","3,319.13","3,184.96","42.71B","-3.86%"
"Jul 23, 2020","3,325.11","3,306.15","3,336.30","3,257.83","40.70B","-0.24%"
"Jul 22, 2020","3,333.16","3,315.18","3,381.98","3,311.79","39.33B","0.37%"
"Jul 21, 2020","3,320.89","3,330.55","3,336.68","3,300.57","35.93B","0.20%"
"Jul 20, 2020","3,314.15","3,243.91","3,314.15","3,220.68","41.86B","3.11%"
"Jul 17, 2020","3,214.13","3,214.40","3,252.78","3,181.27","35.97B","0.13%"
"Jul 16, 2020","3,210.10","3,356.36","3,373.53","3,209.73","49.06B","-4.50%"
"Jul 15, 2020","3,361.30","3,422.08","3,432.45","3,345.75","49.20B","-1.56%"
"Jul 14, 2020","3,414.62","3,435.02","3,451.22","3,366.08","54.32B","-0.83%"
"Jul 13, 2020","3,443.29","3,379.39","3,458.79","3,369.04","55.80B","1.77%"
"Jul 10, 2020","3,383.32","3,418.93","3,433.11","3,372.51","55.61B","-1.95%"
"Jul 09, 2020","3,450.59","3,403.48","3,456.97","3,393.64","62.00B","1.39%"
"Jul 08, 2020","3,403.44","3,337.55","3,421.53","3,327.71","58.71B","1.74%"
"Jul 07, 2020","3,345.34","3,380.95","3,407.08","3,336.24","65.78B","0.37%"
"Jul 06, 2020","3,332.88","3,187.84","3,337.27","3,187.84","64.39B","5.71%"
"Jul 03, 2020","3,152.81","3,104.00","3,152.81","3,104.00","45.88B","2.01%"
"Jul 02, 2020","3,090.57","3,023.72","3,092.44","3,021.67","39.11B","2.13%"
"Jul 01, 2020","3,025.98","2,991.18","3,026.19","2,984.98","27.33B","1.38%"
"Jun 30, 2020","2,984.67","2,965.11","2,990.83","2,965.11","21.50B","0.78%"
"Jun 29, 2020","2,961.52","2,973.08","2,977.91","2,951.77","22.06B","-0.61%"
"Jun 24, 2020","2,979.55","2,972.98","2,982.94","2,971.22","21.32B","0.30%"
"Jun 23, 2020","2,970.62","2,960.89","2,972.40","2,949.85","22.52B","0.18%"
"Jun 22, 2020","2,965.27","2,966.90","2,983.44","2,959.03","26.79B","-0.08%"
"Jun 19, 2020","2,967.63","2,938.79","2,973.32","2,935.82","26.43B","0.96%"
"Jun 18, 2020","2,939.32","2,929.88","2,942.90","2,920.11","25.87B","0.12%"
"Jun 17, 2020","2,935.87","2,932.67","2,936.62","2,919.04","23.47B","0.14%"
"Jun 16, 2020","2,931.75","2,912.83","2,931.78","2,909.13","22.33B","1.44%"
"Jun 15, 2020","2,890.03","2,908.28","2,922.54","2,890.03","24.32B","-1.02%"
"Jun 12, 2020","2,919.74","2,876.80","2,930.25","2,872.62","23.60B","-0.04%"
"Jun 11, 2020","2,920.90","2,939.79","2,952.65","2,912.19","23.37B","-0.78%"
"Jun 10, 2020","2,943.75","2,951.28","2,951.33","2,934.84","20.79B","-0.42%"
"Jun 09, 2020","2,956.11","2,939.54","2,957.12","2,932.94","20.90B","0.62%"
"Jun 08, 2020","2,937.77","2,941.98","2,950.07","2,934.21","23.11B","0.24%"
"Jun 05, 2020","2,930.80","2,923.19","2,930.80","2,909.12","21.74B","0.40%"
"Jun 04, 2020","2,919.25","2,931.84","2,932.97","2,910.75","22.66B","-0.14%"
"Jun 03, 2020","2,923.37","2,930.39","2,942.76","2,922.66","25.57B","0.07%"
"Jun 02, 2020","2,921.40","2,916.32","2,926.36","2,909.13","25.61B","0.20%"
"Jun 01, 2020","2,915.43","2,871.96","2,917.15","2,871.96","26.02B","2.21%"
"May 29, 2020","2,852.35","2,835.58","2,855.38","2,829.63","20.68B","0.22%"
"May 28, 2020","2,846.22","2,838.21","2,861.92","2,820.15","20.75B","0.33%"
"May 27, 2020","2,836.80","2,847.32","2,849.00","2,831.93","19.81B","-0.34%"
"May 26, 2020","2,846.55","2,827.90","2,848.34","2,825.90","17.46B","1.01%"
"May 25, 2020","2,817.97","2,816.24","2,821.50","2,802.47","17.29B","0.15%"
"May 22, 2020","2,813.77","2,863.05","2,863.05","2,808.02","20.91B","-1.89%"
"May 21, 2020","2,867.92","2,890.72","2,891.52","2,864.21","20.35B","-0.55%"
"May 20, 2020","2,883.74","2,896.47","2,896.47","2,876.18","21.05B","-0.51%"
"May 19, 2020","2,898.58","2,897.69","2,900.22","2,887.58","19.72B","0.81%"
"May 18, 2020","2,875.42","2,872.52","2,889.98","2,862.27","22.60B","0.24%"
"May 15, 2020","2,868.46","2,880.71","2,884.22","2,863.37","18.90B","-0.07%"
"May 14, 2020","2,870.34","2,887.06","2,887.06","2,869.18","19.78B","-0.96%"
"May 13, 2020","2,898.05","2,882.96","2,900.26","2,875.54","18.51B","0.22%"
"May 12, 2020","2,891.56","2,894.62","2,897.90","2,871.23","19.71B","-0.11%"
"May 11, 2020","2,894.80","2,901.57","2,914.28","2,884.38","22.51B","-0.02%"
"May 08, 2020","2,895.34","2,882.71","2,903.80","2,879.20","22.68B","0.83%"
"May 07, 2020","2,871.52","2,876.47","2,882.02","2,864.58","22.67B","-0.23%"
"May 06, 2020","2,878.14","2,831.63","2,879.26","2,830.65","24.98B","0.63%"
"Apr 30, 2020","2,860.08","2,832.38","2,865.59","2,832.38","24.25B","1.33%"
"Apr 29, 2020","2,822.44","2,801.38","2,831.76","2,800.74","20.21B","0.44%"
"Apr 28, 2020","2,810.02","2,819.99","2,821.75","2,758.25","25.39B","-0.19%"
"Apr 27, 2020","2,815.49","2,812.24","2,832.67","2,802.96","21.01B","0.25%"
"Apr 24, 2020","2,808.53","2,834.94","2,834.94","2,802.50","23.52B","-1.06%"
"Apr 23, 2020","2,838.50","2,850.51","2,853.64","2,835.90","24.88B","-0.19%"
"Apr 22, 2020","2,843.98","2,814.07","2,843.98","2,808.48","21.73B","0.60%"
"Apr 21, 2020","2,827.01","2,842.24","2,842.24","2,808.02","23.32B","-0.90%"
"Apr 20, 2020","2,852.55","2,840.41","2,852.99","2,833.26","21.18B","0.50%"
"Apr 17, 2020","2,838.49","2,835.56","2,854.96","2,830.02","24.57B","0.66%"
"Apr 16, 2020","2,819.94","2,798.43","2,823.34","2,796.84","20.30B","0.31%"
"Apr 15, 2020","2,811.17","2,826.66","2,829.75","2,808.70","20.56B","-0.57%"
"Apr 14, 2020","2,827.28","2,794.80","2,827.30","2,789.43","20.27B","1.59%"
"Apr 13, 2020","2,783.05","2,784.60","2,792.89","2,774.08","17.71B","-0.49%"
"Apr 10, 2020","2,796.63","2,827.19","2,833.01","2,789.98","23.35B","-1.04%"
"Apr 09, 2020","2,825.90","2,825.84","2,832.40","2,820.43","23.82B","0.37%"
"Apr 08, 2020","2,815.37","2,805.92","2,823.21","2,800.30","24.35B","-0.19%"
"Apr 07, 2020","2,820.76","2,806.97","2,823.28","2,801.84","27.02B","2.05%"
"Apr 03, 2020","2,763.99","2,773.58","2,780.59","2,754.07","20.08B","-0.60%"
"Apr 02, 2020","2,780.64","2,720.23","2,780.64","2,719.90","21.79B","1.69%"
"Apr 01, 2020","2,734.52","2,743.54","2,773.36","2,731.08","21.73B","-0.57%"
"Mar 31, 2020","2,750.30","2,767.31","2,771.17","2,743.12","21.86B","0.11%"
"Mar 30, 2020","2,747.21","2,739.72","2,759.10","2,723.05","23.97B","-0.90%"
"Mar 27, 2020","2,772.20","2,792.98","2,805.55","2,771.76","24.08B","0.26%"
"Mar 26, 2020","2,764.91","2,761.90","2,788.50","2,753.43","23.41B","-0.60%"
"Mar 25, 2020","2,781.59","2,775.30","2,788.64","2,757.80","27.31B","2.17%"
"Mar 24, 2020","2,722.44","2,703.02","2,723.41","2,667.13","25.70B","2.34%"
"Mar 23, 2020","2,660.17","2,677.59","2,703.33","2,656.50","24.98B","-3.11%"
"Mar 20, 2020","2,745.62","2,727.02","2,751.90","2,702.49","25.20B","1.61%"
"Mar 19, 2020","2,702.13","2,719.41","2,736.82","2,646.80","30.23B","-0.98%"
"Mar 18, 2020","2,728.76","2,792.32","2,815.87","2,728.76","29.12B","-1.83%"
"Mar 17, 2020","2,779.64","2,796.28","2,826.91","2,715.22","30.61B","-0.34%"
"Mar 16, 2020","2,789.25","2,897.30","2,898.03","2,784.66","35.19B","-3.40%"
"Mar 13, 2020","2,887.43","2,804.23","2,910.88","2,799.98","36.64B","-1.23%"
"Mar 12, 2020","2,923.49","2,936.02","2,944.47","2,906.28","30.78B","-1.52%"
"Mar 11, 2020","2,968.52","3,001.76","3,010.03","2,968.52","35.25B","-0.94%"
