"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 15","29,361.50","29,143.63","29,560.32","28,044.49","277.39M","0.61%"
"Jan 15","29,182.95","27,485.77","29,844.16","26,776.12","238.17M","6.12%"
"Dec 14","27,499.42","28,748.22","28,809.64","26,469.42","211.29M","-4.16%"
"Nov 14","28,693.99","27,943.04","28,822.37","27,739.56","164.77M","2.97%"
"Oct 14","27,865.83","26,681.47","27,894.32","25,910.77","147.40M","4.64%"
"Sep 14","26,630.51","26,733.18","27,354.99","26,220.49","178.16M","-0.03%"
"Aug 14","26,638.11","25,753.92","26,674.38","25,232.82","156.89M","2.87%"
"Jul 14","25,894.97","25,469.94","26,300.17","24,892.00","232.07M","1.89%"
"Jun 14","25,413.78","24,368.96","25,725.12","24,270.20","271.55M","4.94%"
"May 14","24,217.34","22,493.59","25,375.63","22,277.04","321.36M","8.03%"
"Apr 14","22,417.80","22,455.23","22,939.31","22,197.51","155.71M","0.14%"
"Mar 14","22,386.27","21,079.27","22,467.21","20,920.98","366.73M","5.99%"
"Feb 14","21,120.12","20,479.03","21,140.51","19,963.12","166.15M","2.96%"
"Jan 14","20,513.85","21,222.19","21,409.66","20,343.78","204.92M","-3.10%"
"Dec 13","21,170.68","20,771.27","21,483.74","20,568.70","198.46M","1.82%"
"Nov 13","20,791.93","21,158.81","21,321.53","20,137.67","194.51M","-1.76%"
"Oct 13","21,164.52","19,452.05","21,205.44","19,264.72","235.44M","9.21%"
"Sep 13","19,379.77","18,691.83","20,739.69","18,166.17","264.33M","4.08%"
"Aug 13","18,619.72","19,443.29","19,569.20","17,448.71","304.52M","-3.75%"
"Jul 13","19,345.70","19,352.48","20,351.06","19,126.82","214.86M","-0.26%"
"Jun 13","19,395.81","19,859.22","19,860.19","18,467.16","197.78M","-1.84%"
"May 13","19,760.30","19,459.33","20,443.62","19,451.26","198.26M","1.31%"
"Apr 13","19,504.18","18,890.81","19,622.68","18,144.22","183.42M","3.55%"
"Mar 13","18,835.77","18,876.68","19,754.66","18,568.43","194.44M","-0.14%"
"Feb 13","18,861.54","19,907.21","19,966.69","18,793.97","179.77M","-5.19%"
"Jan 13","19,894.98","19,513.45","20,203.66","19,508.93","211.41M","2.41%"
"Dec 12","19,426.71","19,342.83","19,612.18","19,149.03","175.13M","0.45%"
"Nov 12","19,339.90","18,487.90","19,372.70","18,255.69","162.91M","4.51%"
"Oct 12","18,505.38","18,784.64","19,137.29","18,393.42","200.76M","-1.37%"
"Sep 12","18,762.74","17,465.60","18,869.94","17,250.80","215.42M","7.65%"
"Aug 12","17,429.56","17,244.44","17,972.54","17,026.97","213.15M","1.12%"
"Jul 12","17,236.18","17,438.68","17,631.19","16,598.48","210.39M","-1.11%"
"Jun 12","17,429.98","16,217.48","17,448.48","15,748.98","219.92M","7.47%"
"May 12","16,218.53","17,370.93","17,432.33","15,809.71","250.02M","-6.35%"
"Apr 12","17,318.81","17,429.96","17,664.10","17,010.16","213.49M","-0.49%"
"Mar 12","17,404.20","17,714.62","18,040.69","16,920.61","338.13M","-1.96%"
"Feb 12","17,752.68","17,179.64","18,523.78","17,061.55","431.55M","3.25%"
"Jan 12","17,193.55","15,534.67","17,258.97","15,358.02","351.79M","11.25%"
"Dec 11","15,454.92","16,555.93","17,003.71","15,135.86","370.98M","-4.15%"
"Nov 11","16,123.46","17,540.55","17,702.26","15,478.69","351.77M","-8.93%"
"Oct 11","17,705.01","16,255.97","17,908.13","15,745.43","308.55M","7.60%"
"Sep 11","16,453.76","16,963.67","17,211.80","15,801.01","333.79M","-1.34%"
"Aug 11","16,676.75","18,352.23","18,440.07","15,765.53","295.64M","-8.36%"
"Jul 11","18,197.20","18,974.96","19,131.70","18,131.86","249.50M","-3.44%"
"Jun 11","18,845.87","18,527.12","18,873.39","17,314.38","270.02M","1.85%"
"May 11","18,503.28","19,224.05","19,253.87","17,786.13","286.38M","-3.31%"
"Apr 11","19,135.96","19,463.11","19,811.14","18,976.19","231.01M","-1.59%"
"Mar 11","19,445.22","17,982.28","19,575.16","17,792.17","375.02M","9.10%"
"Feb 11","17,823.40","18,425.18","18,690.97","17,295.62","434.22M","-2.75%"
"Jan 11","18,327.76","20,621.61","20,664.80","18,038.48","312.67M","-10.64%"
"Dec 10","20,509.09","19,529.99","20,552.03","19,074.57","292.27M","5.06%"
"Nov 10","19,521.25","20,272.49","21,108.64","18,954.82","289.61M","-2.55%"
"Oct 10","20,032.34","20,094.10","20,854.55","19,768.96","288.85M","-0.18%"
"Sep 10","20,069.12","18,027.12","20,267.98","18,027.12","334.88M","11.67%"
"Aug 10","17,971.12","17,911.31","18,475.27","17,819.99","311.13M","0.58%"
"Jul 10","17,868.29","17,679.34","18,237.56","17,395.58","330.50M","0.95%"
"Jun 10","17,700.90","16,942.82","17,919.62","16,318.39","500.17K","4.46%"
"May 10","16,944.63","17,536.86","17,536.86","15,960.15","398.30K","-3.50%"
"Apr 10","17,558.71","17,555.04","18,047.86","17,276.80","259.79K","0.18%"
"Mar 10","17,527.77","16,438.45","17,793.01","16,438.45","368.51K","6.68%"
"Feb 10","16,429.55","16,339.32","16,669.25","15,651.99","353.95K","0.44%"
"Jan 10","16,357.96","17,473.45","17,790.33","15,982.08","391.40K","-6.34%"
