"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 18","2,493.90","2,647.13","2,666.08","2,462.84","257.51B","-3.64%"
"Nov 18","2,588.19","2,617.03","2,703.51","2,555.32","405.28B","-0.56%"
"Oct 18","2,602.78","2,768.21","2,771.94","2,449.20","274.04B","-7.75%"
"Sep 18","2,821.35","2,716.40","2,827.34","2,644.30","214.84B","3.53%"
"Aug 18","2,725.25","2,882.51","2,897.40","2,653.11","282.14B","-5.25%"
"Jul 18","2,876.40","2,841.58","2,915.30","2,691.02","304.91B","1.02%"
"Jun 18","2,847.42","3,084.75","3,128.72","2,782.38","262.40B","-8.01%"
"May 18","3,095.47","3,087.41","3,219.74","3,041.00","297.93B","0.43%"
"Apr 18","3,082.23","3,169.78","3,220.85","3,041.63","269.90B","-2.73%"
"Mar 18","3,168.90","3,235.09","3,333.88","3,091.46","370.41B","-2.78%"
"Feb 18","3,259.41","3,478.67","3,495.09","3,062.74","288.90B","-6.36%"
"Jan 18","3,480.83","3,314.03","3,587.03","3,314.03","479.78B","5.25%"
"Dec 17","3,307.17","3,315.10","3,324.52","3,254.18","294.12B","-0.30%"
"Nov 17","3,317.19","3,393.97","3,450.49","3,300.78","398.24B","-2.24%"
"Oct 17","3,393.34","3,403.25","3,421.10","3,357.28","270.67B","1.33%"
"Sep 17","3,348.94","3,365.99","3,391.64","3,332.60","423.26B","-0.35%"
"Aug 17","3,360.81","3,274.37","3,376.65","3,200.75","505.99B","2.68%"
"Jul 17","3,273.03","3,192.00","3,276.95","3,139.50","418.76B","2.52%"
"Jun 17","3,192.43","3,108.42","3,193.46","3,078.79","320.47B","2.41%"
"May 17","3,117.18","3,147.23","3,154.78","3,016.53","322.80B","-1.19%"
"Apr 17","3,154.66","3,235.66","3,295.19","3,097.33","378.95B","-2.11%"
"Mar 17","3,222.51","3,240.07","3,283.24","3,193.16","411.76B","-0.59%"
"Feb 17","3,241.73","3,160.08","3,264.08","3,132.03","339.80B","2.61%"
"Jan 17","3,159.17","3,105.31","3,174.58","3,044.29","275.95B","1.79%"
"Dec 16","3,103.64","3,257.03","3,279.71","3,068.42","396.59B","-4.50%"
"Nov 16","3,250.03","3,101.66","3,301.21","3,094.10","520.08B","4.82%"
"Oct 16","3,100.49","3,020.46","3,137.03","3,014.62","278.31B","3.19%"
"Sep 16","3,004.70","3,083.96","3,105.68","2,969.13","279.58B","-2.62%"
"Aug 16","3,085.49","2,971.95","3,140.44","2,931.96","395.62B","3.56%"
"Jul 16","2,979.34","2,931.80","3,069.05","2,922.52","401.17B","1.70%"
"Jun 16","2,929.61","2,917.15","2,945.94","2,807.60","317.59B","0.45%"
"May 16","2,916.62","2,940.39","3,004.42","2,780.76","285.38B","-0.74%"
"Apr 16","2,938.32","2,997.09","3,097.16","2,905.05","378.70B","-2.18%"
"Mar 16","3,003.92","2,688.38","3,028.32","2,668.76","508.46B","11.75%"
"Feb 16","2,687.98","2,730.98","2,933.96","2,638.96","301.33B","-1.81%"
"Jan 16","2,737.60","3,536.59","3,538.69","2,638.30","400.78B","-22.65%"
"Dec 15","3,539.18","3,442.44","3,684.57","3,399.28","536.82B","2.72%"
"Nov 15","3,445.40","3,337.58","3,678.27","3,302.18","706.58B","1.86%"
"Oct 15","3,382.56","3,156.07","3,457.52","3,133.13","545.26B","10.80%"
"Sep 15","3,052.78","3,157.83","3,256.74","2,983.54","536.25B","-4.78%"
"Aug 15","3,205.99","3,614.99","4,006.34","2,850.71","871.93B","-12.49%"
"Jul 15","3,663.73","4,214.15","4,317.05","3,373.54","1,319.36B","-14.34%"
"Jun 15","4,277.22","4,633.10","5,178.19","3,847.88","1,287.06B","-7.25%"
"May 15","4,611.74","4,441.34","4,986.50","4,099.04","1,066.49B","3.83%"
"Apr 15","4,441.66","3,748.34","4,572.39","3,742.21","1,267.74B","18.51%"
"Mar 15","3,747.90","3,332.72","3,835.57","3,198.37","944.25B","13.22%"
"Feb 15","3,310.30","3,148.14","3,324.55","3,049.11","361.56B","3.11%"
"Jan 15","3,210.36","3,258.63","3,406.79","3,095.07","703.74B","-0.75%"
"Dec 14","3,234.68","2,691.72","3,239.36","2,665.69","1,138.35B","20.57%"
"Nov 14","2,682.83","2,425.22","2,683.18","2,401.75","569.13B","10.85%"
"Oct 14","2,420.18","2,368.58","2,423.60","2,279.84","369.73B","2.38%"
"Sep 14","2,363.87","2,220.13","2,365.49","2,217.68","419.10B","6.62%"
"Aug 14","2,217.20","2,194.17","2,248.94","2,180.60","334.38B","0.71%"
"Jul 14","2,201.56","2,051.22","2,202.13","2,033.00","298.10B","7.48%"
"Jun 14","2,048.33","2,039.20","2,087.32","2,010.53","159.12B","0.45%"
"May 14","2,039.21","2,022.18","2,061.06","1,991.06","151.25B","0.63%"
"Apr 14","2,026.36","2,031.00","2,146.67","1,997.64","206.74B","-0.34%"
"Mar 14","2,033.31","2,052.08","2,079.55","1,974.38","231.30B","-1.12%"
"Feb 14","2,056.30","2,022.32","2,177.98","2,014.38","205.12B","1.14%"
"Jan 14","2,033.08","2,112.13","2,113.11","1,984.82","156.36B","-3.92%"
"Dec 13","2,115.98","2,203.12","2,260.87","2,068.54","207.13B","-4.71%"
"Nov 13","2,220.50","2,139.88","2,234.39","2,078.99","218.79B","3.68%"
"Oct 13","2,141.61","2,171.90","2,242.98","2,093.20","237.74B","-1.52%"
"Sep 13","2,174.66","2,104.09","2,270.27","2,078.46","299.95B","3.64%"
"Aug 13","2,098.38","2,000.82","2,198.85","1,997.06","248.95B","5.25%"
"Jul 13","1,993.80","1,965.99","2,092.87","1,946.37","216.50B","0.74%"
"Jun 13","1,979.21","2,300.21","2,313.43","1,849.65","155.24B","-13.97%"
"May 13","2,300.59","2,170.78","2,334.33","2,161.14","229.49B","5.63%"
"Apr 13","2,177.91","2,229.46","2,253.42","2,165.78","149.71B","-2.62%"
"Mar 13","2,236.62","2,364.54","2,369.65","2,228.81","232.60B","-5.45%"
"Feb 13","2,365.59","2,377.41","2,444.80","2,289.89","193.56B","-0.83%"
"Jan 13","2,385.42","2,289.51","2,391.82","2,234.95","267.19B","5.13%"
"Dec 12","2,269.13","1,977.25","2,269.51","1,949.46","224.52B","14.60%"
"Nov 12","1,980.12","2,070.02","2,123.33","1,959.33","124.52B","-4.29%"
"Oct 12","2,068.88","2,084.85","2,138.03","2,053.09","123.13B","-0.83%"
"Sep 12","2,086.17","2,044.82","2,145.00","1,999.48","143.28B","1.89%"
"Aug 12","2,047.52","2,101.72","2,176.79","2,032.54","136.40B","-2.67%"
"Jul 12","2,103.63","2,234.32","2,244.83","2,100.25","134.91B","-5.47%"
"Jun 12","2,225.43","2,373.22","2,388.09","2,188.72","127.61B","-6.19%"
"May 12","2,372.23","2,421.08","2,453.73","2,309.07","199.12B","-1.00%"
"Apr 12","2,396.32","2,258.03","2,415.75","2,251.39","163.37B","5.90%"
"Mar 12","2,262.79","2,418.79","2,476.22","2,242.34","208.95B","-6.82%"
"Feb 12","2,428.49","2,288.07","2,478.38","2,263.34","195.23B","5.93%"
"Jan 12","2,292.61","2,212.00","2,324.49","2,132.63","104.56B","4.24%"
"Dec 11","2,199.42","2,392.48","2,423.56","2,134.02","115.45B","-5.74%"
"Nov 11","2,333.41","2,450.33","2,536.78","2,319.44","164.17B","-5.46%"
"Oct 11","2,468.25","2,363.08","2,483.76","2,307.15","120.18B","4.62%"
"Sep 11","2,359.22","2,569.80","2,584.80","2,348.22","119.03B","-8.11%"
"Aug 11","2,567.34","2,697.57","2,712.89","2,437.68","180.20B","-4.97%"
"Jul 11","2,701.73","2,767.83","2,826.96","2,677.12","197.20B","-2.18%"
"Jun 11","2,762.08","2,737.06","2,774.37","2,610.99","162.70B","0.68%"
"May 11","2,743.47","2,911.51","2,933.46","2,689.21","178.51B","-5.77%"
"Apr 11","2,911.51","2,932.48","3,067.46","2,871.01","230.99B","-0.57%"
"Mar 11","2,928.11","2,906.28","3,012.04","2,850.94","294.10B","0.79%"
"Feb 11","2,905.05","2,795.07","2,944.41","2,760.18","175.65B","4.10%"
"Jan 11","2,790.69","2,825.33","2,868.01","2,661.45","172.83B","-0.62%"
"Dec 10","2,808.08","2,810.54","2,939.05","2,721.48","211.97B","-0.43%"
"Nov 10","2,820.18","2,986.89","3,186.72","2,758.92","353.40B","-5.33%"
"Oct 10","2,978.83","2,681.25","3,073.38","2,677.99","297.02B","12.17%"
"Sep 10","2,655.66","2,641.05","2,704.93","2,573.63","204.53B","0.64%"
"Aug 10","2,638.80","2,635.81","2,701.93","2,564.84","240.95B","0.05%"
"Jul 10","2,637.50","2,393.95","2,656.41","2,319.74","190.75B","9.97%"
"Jun 10","2,398.37","2,577.76","2,598.90","2,382.36","122.57B","-7.48%"
"May 10","2,592.15","2,821.35","2,862.55","2,481.97","166.99B","-9.70%"
"Apr 10","2,870.61","3,111.93","3,181.66","2,820.95","229.74B","-7.67%"
"Mar 10","3,109.11","3,057.01","3,132.58","2,963.44","214.92B","1.87%"
"Feb 10","3,051.94","2,981.37","3,067.53","2,890.02","122.55B","2.10%"
"Jan 10","2,989.29","3,289.75","3,306.75","2,963.89","235.57B","-8.78%"
