"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 09, 2021","51,025.48","50,714.16","51,111.94","50,396.10","12.23M","1.16%"
"Mar 08, 2021","50,441.07","50,654.02","50,985.77","50,318.26","14.22M","0.07%"
"Mar 05, 2021","50,405.32","50,517.36","50,886.19","50,160.54","19.16M","-0.87%"
"Mar 04, 2021","50,846.08","50,812.14","51,256.55","50,539.92","21.85M","-1.16%"
"Mar 03, 2021","51,444.65","50,738.21","51,539.89","50,512.84","15.78M","2.28%"
"Mar 02, 2021","50,296.89","50,258.09","50,439.82","49,807.12","17.47M","0.90%"
"Mar 01, 2021","49,849.84","49,747.71","50,058.42","49,440.46","18.38M","1.53%"
"Feb 26, 2021","49,099.99","50,256.71","50,400.31","48,890.48","23.08M","-3.80%"
"Feb 25, 2021","51,039.31","51,207.61","51,386.12","50,991.76","33.47M","0.51%"
"Feb 24, 2021","50,781.69","49,763.94","50,881.17","49,648.78","45.91M","2.07%"
"Feb 23, 2021","49,751.41","49,994.85","50,327.31","49,659.85","14.85M","0.01%"
"Feb 22, 2021","49,744.32","50,910.51","50,986.03","49,617.37","16.25M","-2.25%"
"Feb 19, 2021","50,889.76","51,238.02","51,432.99","50,624.33","14.98M","-0.85%"
"Feb 18, 2021","51,324.69","51,903.96","51,903.96","51,186.68","18.25M","-0.73%"
"Feb 17, 2021","51,703.83","51,996.94","52,078.15","51,586.34","13.63M","-0.77%"
"Feb 16, 2021","52,104.17","52,400.03","52,516.76","51,863.61","21.14M","-0.10%"
"Feb 15, 2021","52,154.13","51,907.75","52,235.97","51,886.46","14.73M","1.18%"
"Feb 12, 2021","51,544.30","51,614.77","51,804.58","51,260.62","15.09M","0.02%"
"Feb 11, 2021","51,531.52","51,165.04","51,581.11","51,164.26","12.07K","0.43%"
"Feb 10, 2021","51,309.39","51,355.89","51,512.86","50,846.22","15.96M","-0.04%"
"Feb 09, 2021","51,329.08","51,484.23","51,835.86","51,193.93","21.19M","-0.04%"
"Feb 08, 2021","51,348.77","51,146.67","51,522.12","51,146.67","20.60K","1.22%"
"Feb 05, 2021","50,731.63","51,031.39","51,073.27","50,565.29","32.18M","0.23%"
"Feb 04, 2021","50,614.29","50,212.25","50,687.51","49,926.45","33.55M","0.71%"
"Feb 03, 2021","50,255.75","50,231.06","50,526.39","49,515.88","22.37M","0.92%"
"Feb 02, 2021","49,797.72","49,193.26","50,154.48","49,193.26","28.35M","2.46%"
"Feb 01, 2021","48,600.61","46,617.95","48,764.40","46,433.65","22.03M","5.00%"
"Jan 29, 2021","46,285.77","47,423.47","47,423.66","46,160.46","14.46M","-1.26%"
"Jan 28, 2021","46,874.36","46,834.57","47,172.02","46,518.48","25.01M","-1.13%"
"Jan 27, 2021","47,409.93","48,385.28","48,387.25","47,269.60","19.56M","-1.94%"
"Jan 25, 2021","48,347.59","49,253.68","49,263.15","48,274.92","15.52M","-1.09%"
"Jan 22, 2021","48,878.54","49,594.95","49,676.88","48,832.08","18.42M","-1.50%"
"Jan 21, 2021","49,624.76","50,096.57","50,184.01","49,398.86","19.33M","-0.34%"
"Jan 20, 2021","49,792.12","49,508.79","49,874.42","49,373.68","12.16M","0.80%"
"Jan 19, 2021","49,398.29","48,900.31","49,499.86","48,805.54","11.02M","1.72%"
"Jan 18, 2021","48,564.27","49,061.22","49,122.23","48,403.97","16.61M","-0.96%"
"Jan 15, 2021","49,034.67","49,656.71","49,656.71","48,795.79","14.69M","-1.11%"
"Jan 14, 2021","49,584.16","49,432.83","49,663.58","49,182.37","24.47M","0.19%"
"Jan 13, 2021","49,492.32","49,763.93","49,795.19","49,073.85","27.17M","-0.05%"
"Jan 12, 2021","49,517.11","49,228.26","49,569.14","49,079.57","12.68M","0.50%"
"Jan 11, 2021","49,269.32","49,269.61","49,295.64","48,960.57","21.18K","1.00%"
"Jan 08, 2021","48,782.51","48,464.91","48,854.34","48,365.58","22.19M","1.43%"
"Jan 07, 2021","48,093.32","48,524.36","48,558.34","48,037.87","18.43M","-0.17%"
"Jan 06, 2021","48,174.06","48,616.66","48,616.66","47,864.14","22.50M","-0.54%"
"Jan 05, 2021","48,437.78","48,037.63","48,486.24","47,903.38","12.18M","0.54%"
